date_time, WS_60_mean, WD_60_mean, Tair_mean, RH_mean
1/1/2019 0:10,6.6659,281.94,22.9,79.91
1/1/2019 0:20,8.7072,284.14,23.28,78.13
1/1/2019 0:30,9.398,281.84,22.94,80
1/1/2019 0:40,9.3793,275.94,22.81,80.3
1/1/2019 0:50,9.927,277.94,22.58,80.7
1/1/2019 1:00,9.3918,274.54,22.34,81.6
1/1/2019 1:10,8.9001,269.94,22.51,78.06
1/1/2019 1:20,9.8336,285.24,22.43,79.04
1/1/2019 1:30,11.2152,270.74,22.07,83.5
1/1/2019 1:40,8.9188,274.44,21.77,86
1/1/2019 1:50,9.2175,275.74,21.57,88
1/1/2019 2:00,9.4913,281.14,21.4,88.2
1/1/2019 2:10,9.7154,285.84,21.39,87.3
1/1/2019 2:20,9.8959,287.04,21.38,88.2
1/1/2019 2:30,11.153,285.24,21.42,88
1/1/2019 2:40,10.5991,285.54,21.46,87.4
1/1/2019 2:50,10.3377,289.04,21.5,86.4
1/1/2019 3:00,10.5369,283.04,21.55,85.3
1/1/2019 3:10,10.3191,279.24,21.53,84.8
1/1/2019 3:20,10.1137,277.14,21.39,85.4
1/1/2019 3:30,9.6158,275.24,21.32,85.2
1/1/2019 3:40,9.3295,279.04,21.18,85.9
1/1/2019 3:50,8.8317,284.64,21.14,85.8
1/1/2019 4:00,8.9748,283.74,21.1,86
1/1/2019 4:10,8.8441,281.64,21.04,86.3
1/1/2019 4:20,9.1739,288.34,20.99,85.8
1/1/2019 4:30,9.5536,292.84,21.19,82.5
1/1/2019 4:40,8.869,289.64,21.31,80.9
1/1/2019 4:50,8.9001,286.84,21.28,80.7
1/1/2019 5:00,8.5952,279.84,21.2,81.9
1/1/2019 5:10,8.228,276.44,20.97,84.2
1/1/2019 5:20,8.7632,273.24,20.75,86.2
1/1/2019 5:30,8.7943,272.24,20.55,88.6
1/1/2019 5:40,8.9063,271.94,20.43,91.6
1/1/2019 5:50,8.4334,274.24,20.26,93.6
1/1/2019 6:00,8.4147,275.34,20.24,94.7
1/1/2019 6:10,9.0868,273.14,20.29,95.1
1/1/2019 6:20,10.3564,269.14,20.48,94.5
1/1/2019 6:30,11.3708,266.74,20.54,93.4
1/1/2019 6:40,11.4953,264.44,20.6,92.3
1/1/2019 6:50,11.6011,265.54,20.73,90.7
1/1/2019 7:00,12.1052,263.94,20.84,88.8
1/1/2019 7:10,12.4039,263.44,20.91,89.3
1/1/2019 7:20,13.5988,268.34,20.92,89.4
1/1/2019 7:30,14.7065,267.54,20.82,87.3
1/1/2019 7:40,13.493,266.54,20.98,85.4
1/1/2019 7:50,12.8084,265.04,20.95,84.9
1/1/2019 8:00,11.8998,267.14,21.06,83.2
1/1/2019 8:10,12.0678,266.44,21.08,83.1
1/1/2019 8:20,11.4828,258.64,21.05,85.5
1/1/2019 8:30,11.4081,263.44,21.04,85.1
1/1/2019 8:40,12.0678,262.64,20.89,85.2
1/1/2019 8:50,12.1425,261.54,20.95,84.6
1/1/2019 9:00,13.0511,260.64,21.06,82.7
1/1/2019 9:10,13.2627,258.14,21.29,80.1
1/1/2019 9:20,13.1258,256.04,21.21,80.8
1/1/2019 9:30,12.491,259.64,21.28,80.7
1/1/2019 9:40,12.4039,267.34,21.56,77.01
1/1/2019 9:50,13.2938,263.94,21.46,76.95
1/1/2019 10:00,13.2067,266.34,21.55,75.89
1/1/2019 10:10,13.9286,268.44,21.67,71.77
1/1/2019 10:20,12.0678,267.84,22.21,70.13
1/1/2019 10:30,12.1052,270.84,22.37,69.33
1/1/2019 10:40,12.8395,261.44,22.31,68.57
1/1/2019 10:50,11.6758,263.14,22.55,68.85
1/1/2019 11:00,12.2358,258.34,22.54,66.34
1/1/2019 11:10,13.0013,253.44,22.42,66.92
1/1/2019 11:20,13.966,253.94,21.86,69.66
1/1/2019 11:30,13.7855,253.44,21.87,70.54
1/1/2019 11:40,13.6859,254.94,21.69,73.62
1/1/2019 11:50,14.6443,254.24,21.44,73.46
1/1/2019 12:00,14.2211,255.74,21.51,70.95
1/1/2019 12:10,14.1776,257.44,21.91,68.9
1/1/2019 12:20,13.4183,253.34,21.84,70.47
1/1/2019 12:30,12.908,248.84,21.88,73.37
1/1/2019 12:40,13.9908,246.74,21.44,74.52
1/1/2019 12:50,14.5447,250.54,21.37,73.16
1/1/2019 13:00,14.246,251.34,21.27,75.66
1/1/2019 13:10,14.3954,250.04,21.14,75.1
1/1/2019 13:20,15.1733,248.54,20.89,77.55
1/1/2019 13:30,14.1402,248.44,20.7,83.9
1/1/2019 13:40,12.5844,254.24,20.92,84.9
1/1/2019 13:50,12.4972,255.04,20.89,85.7
1/1/2019 14:00,14.4638,249.14,20.59,86.1
1/1/2019 14:10,13.0262,252.44,20.4,87.7
1/1/2019 14:20,12.8084,257.74,20.35,88.3
1/1/2019 14:30,11.3023,252.74,20.5,86.8
1/1/2019 14:40,12.9702,249.14,20.35,85.6
1/1/2019 14:50,12.8333,249.54,20.25,86
1/1/2019 15:00,12.3665,249.34,20.28,86.6
1/1/2019 15:10,13.5428,250.24,20.18,87.3
1/1/2019 15:20,12.7835,247.74,20.11,88.2
1/1/2019 15:30,13.6486,243.04,20.04,85.3
1/1/2019 15:40,13.5241,251.44,20.12,85.2
1/1/2019 15:50,13.3249,248.34,19.96,85
1/1/2019 16:00,11.8438,250.34,20.01,85.6
1/1/2019 16:10,11.8376,248.04,19.98,86.4
1/1/2019 16:20,12.0118,249.74,20.08,85.8
1/1/2019 16:30,13.0947,253.54,19.96,83.5
1/1/2019 16:40,11.2339,251.04,19.99,83.3
1/1/2019 16:50,12.5035,243.34,19.74,84.4
1/1/2019 17:00,10.6738,249.94,19.93,82.8
1/1/2019 17:10,11.209,250.04,19.79,82.1
1/1/2019 17:20,10.6987,246.74,19.86,80.6
1/1/2019 17:30,10.2257,248.04,19.86,80.7
1/1/2019 17:40,9.7029,252.24,19.91,80.8
1/1/2019 17:50,10.039,250.14,19.81,80
1/1/2019 18:00,11.1779,249.94,19.77,79.87
1/1/2019 18:10,11.5824,252.24,19.82,77.73
1/1/2019 18:20,10.5742,254.94,19.97,76.56
1/1/2019 18:30,10.3751,253.54,19.93,77.34
1/1/2019 18:40,11.5513,254.14,19.9,76.62
1/1/2019 18:50,9.5038,252.04,19.98,77.42
1/1/2019 19:00,10.2568,253.14,19.84,79
1/1/2019 19:10,10.2693,256.94,19.79,79.65
1/1/2019 19:20,9.9768,260.44,19.79,78.26
1/1/2019 19:30,9.5473,259.44,19.75,77.88
1/1/2019 19:40,9.5785,256.84,19.61,78.01
1/1/2019 19:50,10.736,253.54,19.54,78.81
1/1/2019 20:00,10.3688,253.84,19.52,77.29
1/1/2019 20:10,9.6718,256.74,19.51,76.14
1/1/2019 20:20,10.095,255.44,19.62,75.94
1/1/2019 20:30,8.6138,259.64,19.72,76.18
1/1/2019 20:40,9.1677,255.04,19.75,77.79
1/1/2019 20:50,9.3855,257.54,19.83,78.18
1/1/2019 21:00,8.7881,261.64,19.8,78.85
1/1/2019 21:10,8.6263,263.04,19.78,79.99
1/1/2019 21:20,9.3669,253.14,19.54,82.1
1/1/2019 21:30,8.2218,250.64,19.07,86.5
1/1/2019 21:40,8.9188,248.64,18.93,89.2
1/1/2019 21:50,7.5745,253.94,18.84,91.5
1/1/2019 22:00,7.8608,266.14,18.7,93.4
1/1/2019 22:10,6.9211,287.94,18.63,92.9
1/1/2019 22:20,6.4108,292.94,18.59,91.8
1/1/2019 22:30,6.9148,299.44,18.53,92.4
1/1/2019 22:40,7.114,302.14,18.42,93
1/1/2019 22:50,6.9024,306.44,18.35,93.5
1/1/2019 23:00,7.1264,301.54,18.37,92.9
1/1/2019 23:10,6.2489,294.64,18.44,91.4
1/1/2019 23:20,6.5975,286.24,18.57,89.2
1/1/2019 23:30,7.7363,288.24,18.73,87.4
1/1/2019 23:40,8.9312,285.44,18.77,87
1/1/2019 23:50,9.6967,285.14,18.93,86.1
1/2/2019 0:00,8.7943,271.34,18.99,86.1
1/2/2019 0:10,10.0016,275.54,18.9,86.6
1/2/2019 0:20,9.1242,277.14,18.59,90.6
1/2/2019 0:30,8.5516,279.84,18.31,94.5
1/2/2019 0:40,8.6138,277.84,18.31,95.8
